INSERT INTO performances VALUES ('PF000001', '2022-08-20', '10:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000304', '2024-08-21', '16:00', 'GP002', 'SC010');
INSERT INTO performances VALUES ('PF000305', '2024-08-21', '16:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000306', '2024-08-21', '17:00', 'GP003', 'SC005');
INSERT INTO performances VALUES ('PF000307', '2024-08-21', '17:00', 'GP002', 'SC006');
INSERT INTO performances VALUES ('PF000308', '2024-08-21', '17:00', 'GP006', 'SC007');
INSERT INTO performances VALUES ('PF000309', '2024-08-21', '17:00', 'GP002', 'SC008');
INSERT INTO performances VALUES ('PF000310', '2024-08-21', '17:00', 'GP003', 'SC009');
INSERT INTO performances VALUES ('PF000311', '2024-08-21', '17:00', 'GP001', 'SC010');
INSERT INTO performances VALUES ('PF000312', '2024-08-21', '17:00', 'GP006', 'SC011');
INSERT INTO performances VALUES ('PF000313', '2024-08-21', '18:00', 'GP002', 'SC005');
INSERT INTO performances VALUES ('PF000314', '2024-08-21', '18:00', 'GP004', 'SC006');
INSERT INTO performances VALUES ('PF000315', '2024-08-21', '18:00', 'GP003', 'SC007');
INSERT INTO performances VALUES ('PF000316', '2024-08-21', '18:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000317', '2024-08-21', '18:00', 'GP001', 'SC009');
INSERT INTO performances VALUES ('PF000318', '2024-08-21', '18:00', 'GP002', 'SC010');
INSERT INTO performances VALUES ('PF000319', '2024-08-21', '18:00', 'GP005', 'SC011');
